R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3pm,PTS,TREB,AST,STL,BLK,TO,TOTAL
59,53.4,Deandre Ayton,C,PHO,69,30.6,0.614(7.0/11.3),0.755(2.1/2.8),0.1,16.2,10.4,1.6,0.6,0.8,1.7,3.54
60,64.2,Bradley Beal,"PG,SG",PHO,62,33.6,0.478(7.6/16.0),0.838(3.9/4.7),1.6,20.8,4.2,5.7,0.9,0.5,3.1,3.53
61,68.8,Franz Wagner,"SG,SF,PF",ORL,78,33.1,0.486(6.8/13.9),0.860(3.6/4.2),1.7,18.8,4.6,3.6,1.1,0.3,2,3.45
62,61.9,Alperen Sengün,C,HOU,74,30.1,0.545(6.0/11.0),0.720(3.1/4.3),0.5,15.6,9.1,4,1,1,2.8,3.44
63,63.2,Cameron Johnson,"SF,PF",BKN,68,31.9,0.464(5.5/11.9),0.849(2.2/2.6),3,16.2,5,2,1.3,0.3,0.9,3.42
64,69.6,Devin Vassell,"SG,SF",SA,69,32,0.433(6.5/15.1),0.823(2.4/2.9),2.9,18.3,4.3,3.8,1.2,0.6,1.2,3.34
65,75.7,Jerami Grant,PF,POR,65,35.8,0.465(7.0/15.1),0.817(4.5/5.5),2.2,20.7,4.6,2.5,0.9,0.9,1.9,3.34
66,104.4,Onyeka Okongwu,C,ATL,76,26,0.655(4.4/6.7),0.763(2.2/2.8),0,11,8,1.2,0.8,1.5,1.2,3.21
67,61.6,Jalen Williams,"SG,SF",OKC,74,31.9,0.521(5.9/11.2),0.811(2.2/2.7),1,15,4.8,3.5,1.5,0.5,1.7,3.19
68,47.8,OG Anunoby,"SG,SF",TOR,68,33.6,0.461(6.0/13.1),0.804(1.9/2.4),2.1,16.1,4.9,2.1,1.6,0.6,1.8,3.17
69,70.6,Derrick White,"PG,SG",BOS,77,31.8,0.451(4.9/10.8),0.868(2.6/3.0),1.9,14.3,3.9,4.9,0.8,1,1.5,3.11
70,84.8,Klay Thompson,"SG,SF",GS,68,33,0.434(8.2/18.9),0.889(1.7/1.9),4.3,22.4,4.3,2.6,0.7,0.5,1.7,3.07
71,136.4,Mark Williams,C,CHA,70,28.4,0.637(5.2/8.2),0.692(2.2/3.2),0,12.6,9.9,0.6,0.9,1.4,1.3,3.04
72,57,Julius Randle,PF,NY,74,35.4,0.452(7.9/17.5),0.756(4.8/6.3),2.3,22.9,10,4.7,0.7,0.4,3.1,3.01
73,140.7,Josh Hart,"SG,SF",NY,74,32,0.516(4.3/8.3),0.753(2.2/3.0),1,11.8,7.5,3.9,1.4,0.5,1.8,2.88
74,77.6,Tyler Herro,"PG,SG",MIA,67,34,0.443(7.6/17.1),0.896(2.8/3.1),2.9,20.8,5.3,4.2,0.7,0.2,2.5,2.78
75,83.4,Terry Rozier,"PG,SG",CHA,68,33.2,0.430(7.3/16.9),0.827(2.4/2.8),2.8,19.6,4.1,4.6,1.2,0.3,1.7,2.64
76,94,Markelle Fultz,"PG,SG",ORL,60,29.6,0.506(6.0/11.9),0.790(1.9/2.4),0.4,14.4,4,6.2,1.5,0.4,2.5,2.63
77,92.4,Miles Bridges,"SF,PF",CHA,60,30.4,0.483(6.4/13.1),0.801(2.9/3.6),1.7,17.3,6.1,3.3,0.8,0.7,1.6,2.57
78,55.3,Scottie Barnes,"SF,PF",TOR,76,33.2,0.473(6.0/12.6),0.776(2.3/2.9),0.8,15,6.9,5.1,1.1,0.8,1.9,2.57
79,62.1,Rudy Gobert,C,MIN,68,30.6,0.685(5.0/7.2),0.669(3.6/5.4),0,13.5,11.5,1.1,0.7,1.4,1.7,2.53
80,64,Josh Giddey,"SG,SF,PF",OKC,74,31.9,0.478(7.5/15.7),0.723(1.3/1.8),1.1,17.3,8.1,6.5,0.9,0.4,3,2.47
81,83.7,Anfernee Simons,"PG,SG",POR,65,35,0.445(7.5/16.9),0.889(2.4/2.7),3.6,21.1,2.9,4.4,0.7,0.2,2.2,2.46
82,99.7,Daniel Gafford,PF,WAS,76,28,0.713(4.9/6.9),0.689(2.0/2.9),0,11.9,7.2,1.3,0.5,1.6,1.3,2.41
83,95.9,Trey Murphy III,"SF,PF",NO,74,31.8,0.461(4.8/10.5),0.898(2.1/2.4),2.7,14.4,4.2,1.5,1.1,0.5,0.8,2.41
84,84.7,Jakob Poeltl,C,TOR,70,27.7,0.624(5.8/9.3),0.550(1.5/2.8),0,13.1,9.3,2.8,0.8,1.4,1.7,2.16
85,89.3,D'Angelo Russell,"PG,SG",LAL,70,30.2,0.440(5.9/13.3),0.826(2.6/3.2),2.6,16.9,3,6.2,0.9,0.4,2.4,2.12
86,92.5,Kyle Kuzma,"SF,PF",WAS,65,35.1,0.445(8.3/18.6),0.723(2.9/4.0),2.6,22.1,8.1,3.8,0.7,0.8,3.2,2.1
87,83,CJ McCollum,"PG,SG",NO,72,34.7,0.448(7.8/17.5),0.732(2.1/2.8),2.7,20.5,4.2,5.2,1,0.4,2.2,2.02
88,84.1,Austin Reaves,"SG,SF",LAL,71,32.6,0.501(5.0/10.0),0.856(3.9/4.5),1.6,15.4,3.3,3.8,0.7,0.5,1.6,2.01
89,73.9,Clint Capela,C,ATL,68,26.3,0.631(5.1/8.0),0.573(1.2/2.1),0,11.4,11.2,1.1,0.7,1.2,0.7,2.01
90,135.7,Zach Collins,"PF,C",SA,66,27.7,0.507(5.0/9.9),0.772(2.2/2.9),1,13.2,7.4,3.4,0.7,1,2.5,1.91
91,107,De'Anthony Melton,"PG,SG",PHI,75,27.9,0.414(4.1/10.0),0.771(1.2/1.5),2.2,11.6,4.7,2.9,1.7,0.6,1.6,1.9
92,68.4,Chris Paul,PG,GS,60,26.8,0.438(4.1/9.4),0.835(2.0/2.4),1.3,11.6,3.6,7.5,1.2,0.3,1.8,1.87
93,106.2,John Collins,PF,UTA,70,30,0.517(5.6/10.8),0.798(2.2/2.8),1.1,14.4,7.1,1.5,0.6,1,1.1,1.85
94,100.4,Tobias Harris,"SF,PF",PHI,73,32.9,0.490(5.9/12.1),0.856(1.8/2.2),1.5,15.2,6,2.8,0.8,0.5,1.3,1.81
95,102.4,Jonas Valanciunas,C,NO,74,25.4,0.546(5.7/10.5),0.820(2.1/2.5),0.6,14.1,9.9,2,0.4,0.7,2,1.74
96,100.8,Draymond Green,"PF,C",GS,68,31.3,0.527(3.4/6.4),0.688(1.2/1.7),0.5,8.4,7.5,6,1,0.7,3,1.53
97,75.8,Michael Porter Jr.,SF,DEN,65,30.2,0.472(6.4/13.6),0.780(1.5/1.9),2.9,17.3,5.9,1.2,0.7,0.5,1.2,1.51
98,58.7,Paolo Banchero,"SF,PF",ORL,72,34,0.443(7.3/16.5),0.752(5.6/7.5),1.3,21.5,7.5,4,1,0.7,2.8,1.45
99,79.4,Mitchell Robinson,C,NY,68,26.9,0.711(3.6/5.0),0.485(1.2/2.4),0,8.3,9.3,0.7,0.9,1.9,0.8,1.38
100,81.7,Tyus Jones,PG,WAS,72,30,0.443(4.9/11.0),0.806(1.2/1.4),1.8,12.6,3.3,6.4,1.3,0.1,1,1.37
101,135.9,Bojan Bogdanovic,"SG,SF",DET,68,31.4,0.471(6.7/14.3),0.872(3.9/4.4),2.6,19.9,4.1,2.1,0.5,0.1,2,1.35
102,75.9,Buddy Hield,"SG,SF",IND,76,28,0.447(5.4/12.1),0.848(1.2/1.5),3.1,15.2,4.3,2.6,0.9,0.3,1.7,1.34
103,124.6,Al Horford,"PF,C",BOS,58,27.8,0.471(3.5/7.5),0.771(0.6/0.8),1.7,9.4,6.6,3,0.6,1.1,0.7,1.31
104,122.8,Malcolm Brogdon,"PG,SG",BOS,61,26.7,0.468(5.5/11.7),0.863(2.8/3.2),1.7,15.4,4.3,4.2,0.7,0.3,1.6,1.27
105,109.2,Keegan Murray,"SF,PF",SAC,78,31,0.465(5.1/11.0),0.780(1.1/1.4),2.7,14,4.9,1.3,0.9,0.6,0.9,1.26
